Nombre;Cuit;Especialidad;Planes;Email;Telefono;Direccion;Provincia;localidad;CP;Habilitado;codificada
ABRAHAN MARIA SOLEDAD;30657420642;ODONTOPEDIATRIA;OSMISS-150;;48360451;Juncal 2548, B1640GQZ Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
ABRAHAN MARIA SOLEDAD;30657420642;ODONTOPEDIATRIA;OSMISS-200;;48360451;Juncal 2548, B1640GQZ Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
ABRALDES CAROLINA VANESA;27237039977;ODONTOPEDIATRIA;OSMISS-100;cvabraldes@gmail.com;11-6558-7455;Alsina 155, Piso 1, Departamento C, B1704 Ramos Mejía, Provincia de Buenos Aires;Buenos Aires;RAMOS MEJIA;;Si;NO
ABRALDES CAROLINA VANESA;27237039977;ODONTOPEDIATRIA;OSMISS-150;cvabraldes@gmail.com;11-6558-7455;Alsina 155, Piso 1, Departamento C, B1704 Ramos Mejía, Provincia de Buenos Aires;Buenos Aires;RAMOS MEJIA;;Si;NO
ABRALDES CAROLINA VANESA;27237039977;ODONTOPEDIATRIA;OSMISS-200;cvabraldes@gmail.com;11-6558-7455;Alsina 155, Piso 1, Departamento C, B1704 Ramos Mejía, Provincia de Buenos Aires;Buenos Aires;RAMOS MEJIA;;Si;NO
ABRALDES CAROLINA VANESA - CASEROS;27237039977;ODONTOPEDIATRIA;OSMISS-100;cvabraldes@gmail.com;4716-6859;WENSCESLAO DEL TATA  4741    D.2;Buenos Aires;CASEROS;;Si;NO
ABRALDES CAROLINA VANESA - CASEROS;27237039977;ODONTOPEDIATRIA;OSMISS-150;cvabraldes@gmail.com;4716-6859;WENSCESLAO DEL TATA  4741    D.2;Buenos Aires;CASEROS;;Si;NO
ABRALDES CAROLINA VANESA - CASEROS;27237039977;ODONTOPEDIATRIA;OSMISS-200;cvabraldes@gmail.com;4716-6859;WENSCESLAO DEL TATA  4741    D.2;Buenos Aires;CASEROS;;Si;NO
ABRALES,LUIS ALFREDO;30657420642;GINECOLOGIA Y OBSTETRICIA;OSMISS-100;;4202-9122 / 2059-0296;CIE, Manuel Castro 1100, B1828 Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
ABRALES,LUIS ALFREDO;30657420642;GINECOLOGIA Y OBSTETRICIA;OSMISS-150;;4202-9122 / 2059-0296;CIE, Manuel Castro 1100, B1828 Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
ABRALES,LUIS ALFREDO;30657420642;GINECOLOGIA Y OBSTETRICIA;OSMISS-200;;4202-9122 / 2059-0296;CIE, Manuel Castro 1100, B1828 Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
ACED / ENDOSCOPIAS DIGESTIVAS - PLAN 200;30681944887;ANATOMIA PATOLOGICA;OSMISS-200;autorizaciones@osmiss.org.ar;4861-3198;SARMIENTO 3219;Capital Federal;BALVANERA;1196;No;NO
ACED / ENDOSCOPIAS DIGESTIVAS - PLAN 200;30681944887;DERMATOLOGIA INFANTIL;OSMISS-200;autorizaciones@osmiss.org.ar;4861-3198;SARMIENTO 3219;Capital Federal;BALVANERA;1196;No;NO
ACED / ENDOSCOPIAS DIGESTIVAS - PLAN 200;30681944887;DIABETOLOGIA INFANTIL;OSMISS-200;autorizaciones@osmiss.org.ar;4861-3198;SARMIENTO 3219;Capital Federal;BALVANERA;1196;No;NO
ACED / ENDOSCOPIAS DIGESTIVAS - PLAN 200;30681944887;DIAGNOSTICO POR IMAGENES;OSMISS-200;autorizaciones@osmiss.org.ar;4861-3198;SARMIENTO 3219;Capital Federal;BALVANERA;1196;No;NO
ACED / ENDOSCOPIAS DIGESTIVAS - PLAN 200;30681944887;FONOAUDIOLOGIA;OSMISS-200;autorizaciones@osmiss.org.ar;4861-3198;SARMIENTO 3219;Capital Federal;BALVANERA;1196;No;NO
ACED / ENDOSCOPIAS DIGESTIVAS - PLAN 200;30681944887;GASTROENTEROLOGIA;OSMISS-200;autorizaciones@osmiss.org.ar;4861-3198;SARMIENTO 3219;Capital Federal;BALVANERA;1196;No;NO
ACEVEDO,RAMON EDMUNDO;30657420642;CLINICA MEDICA;OSMISS-100;;4285-2606/5290-7176;Lisandro de la Torre 571, B1828 Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
ACEVEDO,RAMON EDMUNDO;30657420642;CLINICA MEDICA;OSMISS-150;;4285-2606/5290-7176;Lisandro de la Torre 571, B1828 Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
ACEVEDO,RAMON EDMUNDO;30657420642;CLINICA MEDICA;OSMISS-200;;4285-2606/5290-7176;Lisandro de la Torre 571, B1828 Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
ACONCAGUA;30609024034;FARMACIA;OSMISS-100;;;AV. SAN MARTIN 1001;Santa Cruz;RIO GALLEGOS;19098;Si;NO
ACONCAGUA;30609024034;FARMACIA;OSMISS-150;;;AV. SAN MARTIN 1001;Santa Cruz;RIO GALLEGOS;19098;Si;NO
ACONCAGUA;30609024034;FARMACIA;OSMISS-200;;;AV. SAN MARTIN 1001;Santa Cruz;RIO GALLEGOS;19098;Si;NO
ACOSTA ALEJANDRO LUIS;20232372436;OFTALMOLOGIA;OSMISS-100;aluacosta@yahoo.com.ar;4626-0811;AV. LURO  6055  P.4;Buenos Aires;LAFERRERE;;Si;NO
ACOSTA ALEJANDRO LUIS;20232372436;OFTALMOLOGIA;OSMISS-150;aluacosta@yahoo.com.ar;4626-0811;AV. LURO  6055  P.4;Buenos Aires;LAFERRERE;;Si;NO
ACOSTA ALEJANDRO LUIS;20232372436;OFTALMOLOGIA;OSMISS-200;aluacosta@yahoo.com.ar;4626-0811;AV. LURO  6055  P.4;Buenos Aires;LAFERRERE;;Si;NO
ACOSTA HAAB GABRIELA IVONNE;30657420642;ANATOMIA PATOLOGICA;OSMISS-100;;4747-0423;Martín y Omar 351, Piso 1, B1642 San Isidro, Provincia de Buenos Aires;Buenos Aires;SAN ISIDRO;;Si;NO
ACOSTA HAAB GABRIELA IVONNE;30657420642;ANATOMIA PATOLOGICA;OSMISS-150;;4747-0423;Martín y Omar 351, Piso 1, B1642 San Isidro, Provincia de Buenos Aires;Buenos Aires;SAN ISIDRO;;Si;NO
ACOSTA HAAB GABRIELA IVONNE;30657420642;ANATOMIA PATOLOGICA;OSMISS-200;;4747-0423;Martín y Omar 351, Piso 1, B1642 San Isidro, Provincia de Buenos Aires;Buenos Aires;SAN ISIDRO;;Si;NO
ACQUARO,ANDRES LEONEL;30657420642;OFTALMOLOGIA;OSMISS-100;;113-164-7302;Valentín Vergara 1531, B1828 Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
ACQUARO,ANDRES LEONEL;30657420642;OFTALMOLOGIA;OSMISS-150;;113-164-7302;Valentín Vergara 1531, B1828 Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
ACQUARO,ANDRES LEONEL;30657420642;OFTALMOLOGIA;OSMISS-200;;113-164-7302;Valentín Vergara 1531, B1828 Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
ADROGUE IMAGENES / INSTITUTO DR. GUILLERMO ROSSI - PLAN 150;30709514853;DIAGNOSTICO POR IMAGENES;OSMISS-150;;1142946398;AV. ESPORA 822;Buenos Aires;ADROGUE;16;No;NO
ADROGUE IMAGENES / INSTITUTO DR. GUILLERMO ROSSI - PLAN 200;30709514853;DIAGNOSTICO POR IMAGENES;OSMISS-200;;1142946398;AV. ESPORA 822;Buenos Aires;ADROGUE;16;No;NO
AGARIE,ALEJANDRO MARCELO;30657420642;CLINICA MEDICA;OSMISS-100;;5263-3330;Boedo 535, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AGARIE,ALEJANDRO MARCELO;30657420642;CLINICA MEDICA;OSMISS-150;;5263-3330;Boedo 535, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AGARIE,ALEJANDRO MARCELO;30657420642;CLINICA MEDICA;OSMISS-200;;5263-3330;Boedo 535, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AGOFF FEDERICO;30657420642;ECOCARDIOGRAFIA CARDIACA;OSMISS-100;;7078-5775;Av. Avelino Rolón 1927, Boulogne, Provincia de Buenos Aires;Buenos Aires;BOULOGNE;;Si;NO
AGOFF FEDERICO;30657420642;ECOCARDIOGRAFIA CARDIACA;OSMISS-150;;7078-5775;Av. Avelino Rolón 1927, Boulogne, Provincia de Buenos Aires;Buenos Aires;BOULOGNE;;Si;NO
AGOFF FEDERICO;30657420642;ECOCARDIOGRAFIA CARDIACA;OSMISS-200;;7078-5775;Av. Avelino Rolón 1927, Boulogne, Provincia de Buenos Aires;Buenos Aires;BOULOGNE;;Si;NO
AGÜERO ANALIA G.;27269428681;GINECOLOGIA;OSMISS-100;anaket78@hotmail.com;11-3152-5826;LA PICANILLA  4148;Buenos Aires;CIUDAD EVITA;;Si;NO
AGÜERO ANALIA G.;27269428681;OBSTETRICIA;OSMISS-100;anaket78@hotmail.com;11-3152-5826;LA PICANILLA  4148;Buenos Aires;CIUDAD EVITA;;Si;NO
AGÜERO ANALIA G.;27269428681;GINECOLOGIA;OSMISS-150;anaket78@hotmail.com;11-3152-5826;LA PICANILLA  4148;Buenos Aires;CIUDAD EVITA;;Si;NO
AGÜERO ANALIA G.;27269428681;OBSTETRICIA;OSMISS-150;anaket78@hotmail.com;11-3152-5826;LA PICANILLA  4148;Buenos Aires;CIUDAD EVITA;;Si;NO
AGÜERO ANALIA G.;27269428681;GINECOLOGIA;OSMISS-200;anaket78@hotmail.com;11-3152-5826;LA PICANILLA  4148;Buenos Aires;CIUDAD EVITA;;Si;NO
AGÜERO ANALIA G.;27269428681;OBSTETRICIA;OSMISS-200;anaket78@hotmail.com;11-3152-5826;LA PICANILLA  4148;Buenos Aires;CIUDAD EVITA;;Si;NO
AGUILAR MORALES, JUAN;20940250812;TRAUMATOLOGIA Y ORTOPEDIA;OSMISS-100;jhonaguilita@gmail.com;4616-8800;AV. MOSCONI  1712 (Lomas del Mirador);Buenos Aires;LOMAS DEL MIRADOR;;Si;NO
AGUILAR MORALES, JUAN;20940250812;TRAUMATOLOGIA Y ORTOPEDIA;OSMISS-150;jhonaguilita@gmail.com;4616-8800;AV. MOSCONI  1712 (Lomas del Mirador);Buenos Aires;LOMAS DEL MIRADOR;;Si;NO
AGUILAR MORALES, JUAN;20940250812;TRAUMATOLOGIA Y ORTOPEDIA;OSMISS-200;jhonaguilita@gmail.com;4616-8800;AV. MOSCONI  1712 (Lomas del Mirador);Buenos Aires;LOMAS DEL MIRADOR;;Si;NO
AGUILAR,JOSE LUIS;30657420642;OFTALMOLOGIA;OSMISS-100;;4243-2345 4244-9356;Av. Almirante Brown 2461;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AGUILAR,JOSE LUIS;30657420642;OFTALMOLOGIA;OSMISS-150;;4243-2345 4244-9356;Av. Almirante Brown 2461;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AGUILAR,JOSE LUIS;30657420642;OFTALMOLOGIA;OSMISS-200;;4243-2345 4244-9356;Av. Almirante Brown 2461;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AGUIRRE ELBA BEATRIZ;30657420642;GINECOLOGIA;OSMISS-100;;4792-2375/798-6675;Tres Sargentos 2321, Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
AGUIRRE ELBA BEATRIZ;30657420642;GINECOLOGIA;OSMISS-150;;4792-2375/798-6675;Tres Sargentos 2321, Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
AGUIRRE ELBA BEATRIZ;30657420642;GINECOLOGIA;OSMISS-200;;4792-2375/798-6675;Tres Sargentos 2321, Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
AGUIRRE,JORGE ALBERTO;30657420642;CLINICA MEDICA;OSMISS-100;;4299-6462;25 de Mayo 560, Burzaco, Provincia de Buenos Aires;Buenos Aires;BURZACO;;Si;NO
AGUIRRE,JORGE ALBERTO;30657420642;CLINICA MEDICA;OSMISS-150;;4299-6462;25 de Mayo 560, Burzaco, Provincia de Buenos Aires;Buenos Aires;BURZACO;;Si;NO
AGUIRRE,JORGE ALBERTO;30657420642;CLINICA MEDICA;OSMISS-200;;4299-6462;25 de Mayo 560, Burzaco, Provincia de Buenos Aires;Buenos Aires;BURZACO;;Si;NO
AGUIRRE,PAULINA;30657420642;CLINICA MEDICA;OSMISS-100;;4367-6700;Gral. Rodríguez 158, Monte Grande, Provincia de Buenos Aires;Buenos Aires;MONTE GRANDE;;Si;NO
AGUIRRE,PAULINA;30657420642;CLINICA MEDICA;OSMISS-150;;4367-6700;Gral. Rodríguez 158, Monte Grande, Provincia de Buenos Aires;Buenos Aires;MONTE GRANDE;;Si;NO
AGUIRRE,PAULINA;30657420642;CLINICA MEDICA;OSMISS-200;;4367-6700;Gral. Rodríguez 158, Monte Grande, Provincia de Buenos Aires;Buenos Aires;MONTE GRANDE;;Si;NO
AHUALLI,JULIAN GASTON;30657420642;GASTROENTEROLOGIA;OSMISS-100;;116-188-5127;Rivera 265, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AHUALLI,JULIAN GASTON;30657420642;GASTROENTEROLOGIA;OSMISS-150;;116-188-5127;Rivera 265, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AHUALLI,JULIAN GASTON;30657420642;GASTROENTEROLOGIA;OSMISS-200;;116-188-5127;Rivera 265, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AIROLDI,CARLOS ALEJANDRO;30657420642;CLINICA MEDICA;OSMISS-100;;152-465-3894;Gascón 213, Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
AIROLDI,CARLOS ALEJANDRO;30657420642;CLINICA MEDICA;OSMISS-150;;152-465-3894;Gascón 213, Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
AIROLDI,CARLOS ALEJANDRO;30657420642;CLINICA MEDICA;OSMISS-200;;152-465-3894;Gascón 213, Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
AIROLDI,JUAN ALFREDO;30657420642;CLINICA MEDICA;OSMISS-100;;4288-0896/0899;Alsina 761, Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
AIROLDI,JUAN ALFREDO;30657420642;CLINICA MEDICA;OSMISS-150;;4288-0896/0899;Alsina 761, Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
AIROLDI,JUAN ALFREDO;30657420642;CLINICA MEDICA;OSMISS-200;;4288-0896/0899;Alsina 761, Banfield, Provincia de Buenos Aires;Buenos Aires;BANFIELD;;Si;NO
AISENBERG,PABLO;30657420642;CLINICA MEDICA;OSMISS-100;;4245-7912;Cornelio Saavedra 109, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AISENBERG,PABLO;30657420642;OFTALMOLOGIA;OSMISS-100;;4245-7912;Cornelio Saavedra 109, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AISENBERG,PABLO;30657420642;CLINICA MEDICA;OSMISS-150;;4245-7912;Cornelio Saavedra 109, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AISENBERG,PABLO;30657420642;OFTALMOLOGIA;OSMISS-150;;4245-7912;Cornelio Saavedra 109, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AISENBERG,PABLO;30657420642;CLINICA MEDICA;OSMISS-200;;4245-7912;Cornelio Saavedra 109, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AISENBERG,PABLO;30657420642;OFTALMOLOGIA;OSMISS-200;;4245-7912;Cornelio Saavedra 109, Lomas de Zamora, Provincia de Buenos Aires;Buenos Aires;LOMAS DE ZAMORA;;Si;NO
AIUB JORGE ROBERTO;30657420642;CARDIOLOGIA;OSMISS-100;;4732 0506;Alte. Brown 262, Piso 5 B, San Isidro, Provincia de Buenos Aires;Buenos Aires;SAN ISIDRO;;Si;NO
AIUB JORGE ROBERTO;30657420642;CARDIOLOGIA;OSMISS-150;;4732 0506;Alte. Brown 262, Piso 5 B, San Isidro, Provincia de Buenos Aires;Buenos Aires;SAN ISIDRO;;Si;NO
AIUB JORGE ROBERTO;30657420642;CARDIOLOGIA;OSMISS-200;;4732 0506;Alte. Brown 262, Piso 5 B, San Isidro, Provincia de Buenos Aires;Buenos Aires;SAN ISIDRO;;Si;NO
AKSELRAD, DAVID JACOBO;20135735508;ALERGIA E INMUNOLOGIA;OSMISS-100;;114334611;Vélez Sarsfield 531, Cañuelas, Provincia de Buenos Aires;Buenos Aires;CAÑUELAS;;Si;NO
AKSELRAD, DAVID JACOBO;20135735508;ALERGIA E INMUNOLOGIA;OSMISS-150;;114334611;Vélez Sarsfield 531, Cañuelas, Provincia de Buenos Aires;Buenos Aires;CAÑUELAS;;Si;NO
AKSELRAD, DAVID JACOBO;20135735508;ALERGIA E INMUNOLOGIA;OSMISS-200;;114334611;Vélez Sarsfield 531, Cañuelas, Provincia de Buenos Aires;Buenos Aires;CAÑUELAS;;Si;NO
AKSELRAD, MARIA JOSE;23316798764;ALERGIA E INMUNOLOGIA;OSMISS-100;;43346622;Av. Sarmiento 964, San Vicente, Provincia de Buenos Aires;Buenos Aires;SAN VICENTE;;Si;NO
AKSELRAD, MARIA JOSE;23316798764;ALERGIA E INMUNOLOGIA;OSMISS-150;;43346622;Av. Sarmiento 964, San Vicente, Provincia de Buenos Aires;Buenos Aires;SAN VICENTE;;Si;NO
AKSELRAD, MARIA JOSE;23316798764;ALERGIA E INMUNOLOGIA;OSMISS-200;;43346622;Av. Sarmiento 964, San Vicente, Provincia de Buenos Aires;Buenos Aires;SAN VICENTE;;Si;NO
AKSELRAD, NADIA SOLEDAD;27308195363;DERMATOLOGIA;OSMISS-100;;-;Av. Rivadavia 338, San Vicente, Provincia de Buenos Aires;Buenos Aires;SAN VICENTE;;Si;NO
AKSELRAD, NADIA SOLEDAD;27308195363;DERMATOLOGIA;OSMISS-150;;-;Av. Rivadavia 338, San Vicente, Provincia de Buenos Aires;Buenos Aires;SAN VICENTE;;Si;NO
AKSELRAD, NADIA SOLEDAD;27308195363;DERMATOLOGIA;OSMISS-200;;-;Av. Rivadavia 338, San Vicente, Provincia de Buenos Aires;Buenos Aires;SAN VICENTE;;Si;NO
ALARCON SIRIA CAROLINA;30657420642;DERMATOLOGIA;OSMISS-100;;4743 7208;Alsina 259, San Isidro, Provincia de Buenos Aires;Buenos Aires;SAN ISIDRO;;Si;NO
ALARCON SIRIA CAROLINA;30657420642;DERMATOLOGIA;OSMISS-150;;4743 7208;Alsina 259, San Isidro, Provincia de Buenos Aires;Buenos Aires;SAN ISIDRO;;Si;NO
ALARCON SIRIA CAROLINA;30657420642;DERMATOLOGIA;OSMISS-200;;4743 7208;Alsina 259, San Isidro, Provincia de Buenos Aires;Buenos Aires;SAN ISIDRO;;Si;NO
ALASINO,DAIANA PAMELA;30657420642;CLINICA MEDICA;OSMISS-100;;4203-8868;Sarmiento 167, Gerli, Provincia de Buenos Aires;Buenos Aires;GERLI;;Si;NO
ALASINO,DAIANA PAMELA;30657420642;CLINICA MEDICA;OSMISS-150;;4203-8868;Sarmiento 167, Gerli, Provincia de Buenos Aires;Buenos Aires;GERLI;;Si;NO
ALASINO,DAIANA PAMELA;30657420642;CLINICA MEDICA;OSMISS-200;;4203-8868;Sarmiento 167, Gerli, Provincia de Buenos Aires;Buenos Aires;GERLI;;Si;NO
ALBA LAURA MARCELA;30657420642;PSIQUIATRIA Y PSICOLOGIA MEDICA;OSMISS-100;;4743-2206;Santa Fe 118, Acassuso, Provincia de Buenos Aires;Buenos Aires;ACASSUSO;;Si;NO
ALBA LAURA MARCELA;30657420642;PSIQUIATRIA Y PSICOLOGIA MEDICA;OSMISS-150;;4743-2206;Santa Fe 118, Acassuso, Provincia de Buenos Aires;Buenos Aires;ACASSUSO;;Si;NO
ALBA LAURA MARCELA;30657420642;PSIQUIATRIA Y PSICOLOGIA MEDICA;OSMISS-200;;4743-2206;Santa Fe 118, Acassuso, Provincia de Buenos Aires;Buenos Aires;ACASSUSO;;Si;NO
ALBARRACIN,ROMINA PAOLA;30657420642;CLINICA MEDICA;OSMISS-100;;1122544128;SARMIENTO 204 PI 2-DTO1 (Lomas de zamora);Buenos Aires;LOMAS DE ZAMORA;;Si;NO
ALBARRACIN,ROMINA PAOLA;30657420642;CLINICA MEDICA;OSMISS-150;;1122544128;SARMIENTO 204 PI 2-DTO1 (Lomas de zamora);Buenos Aires;LOMAS DE ZAMORA;;Si;NO
ALBARRACIN,ROMINA PAOLA;30657420642;CLINICA MEDICA;OSMISS-200;;1122544128;SARMIENTO 204 PI 2-DTO1 (Lomas de zamora);Buenos Aires;LOMAS DE ZAMORA;;Si;NO
ALBERDI;20216965230;FARMACIA;OSMISS-100;;;ALBERDI 758;Entre Rios;CONCEPCION DEL URUGUAY;8799;Si;NO
ALBERDI;20216965230;FARMACIA;OSMISS-150;;;ALBERDI 758;Entre Rios;CONCEPCION DEL URUGUAY;8799;Si;NO
ALBERDI;20216965230;FARMACIA;OSMISS-200;;;ALBERDI 758;Entre Rios;CONCEPCION DEL URUGUAY;8799;Si;NO
ALBORNOZ MARIA DEL PILAR;30657420642;GUARDIA OTORRINOLARINGOLOGIA;OSMISS-100;;4763-7700/9687;Av. Fondo de la Legua 577, Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
ALBORNOZ MARIA DEL PILAR;30657420642;GUARDIA OTORRINOLARINGOLOGIA;OSMISS-150;;4763-7700/9687;Av. Fondo de la Legua 577, Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
ALBORNOZ MARIA DEL PILAR;30657420642;GUARDIA OTORRINOLARINGOLOGIA;OSMISS-200;;4763-7700/9687;Av. Fondo de la Legua 577, Martínez, Provincia de Buenos Aires;Buenos Aires;MARTINEZ;;Si;NO
ALCUAZ ALEJANDRA;27168959139;CLINICA MEDICA;OSMISS-150;info@casamedica.org;4806-2358// WhatsApp para turnos +54 9 11 2522-7577;PACHECO DE MELO 2483;Capital Federal;RECOLETA;1425;Si;NO
ALCUAZ ALEJANDRA;27168959139;CLINICA MEDICA;OSMISS-200;info@casamedica.org;4806-2358// WhatsApp para turnos +54 9 11 2522-7577;PACHECO DE MELO 2483;Capital Federal;RECOLETA;1425;Si;NO
